country,gender,race,how_old_are_you,overall_years_of_professional_experience
US,Woman,White,25-34,11 - 20 years
USA,Woman,White,45-54,11 - 20 years
Usa,Woman,White,35-44,11 - 20 years
US,Woman,White,25-34,2 - 4 years
USA,Woman,White,55-64,21 - 30 years
US,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,5-7 years
US,Woman,White,45-54,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,Another option not listed here or prefer not to answer,45-54,31 - 40 years
US,Woman,"Native American or Alaska Native, White",35-44,11 - 20 years
USA,Man,White,35-44,11 - 20 years
United States of America,Woman,Black or African American,25-34,8 - 10 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,5-7 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,5-7 years
USA,Man,White,55-64,21 - 30 years
USA,Woman,Black or African American,45-54,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
USA,Man,White,25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,21 - 30 years
US,Non-binary,White,25-34,5-7 years
US,Woman,White,25-34,11 - 20 years
US,Woman,White,35-44,11 - 20 years
US,Woman,"Asian or Asian American, White",35-44,11 - 20 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
USA,Man,White,25-34,5-7 years
USA,Man,Asian or Asian American,35-44,11 - 20 years
US,Woman,White,25-34,8 - 10 years
USA,Man,White,25-34,8 - 10 years
US,Man,White,35-44,11 - 20 years
United States of America,Man,White,25-34,5-7 years
Usa,Man,White,25-34,8 - 10 years
US,Woman,White,35-44,8 - 10 years
US,Woman,White,25-34,8 - 10 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,18-24,5-7 years
USA,Woman,White,35-44,11 - 20 years
us,Man,White,35-44,11 - 20 years
US,Woman,White,18-24,2 - 4 years
USA,Woman,White,25-34,11 - 20 years
Usa,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,1 year or less
Us,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Man,White,25-34,8 - 10 years
USA,Woman,Another option not listed here or prefer not to answer,35-44,11 - 20 years
USA,Non-binary,White,25-34,11 - 20 years
US,Man,"Asian or Asian American, White",35-44,11 - 20 years
USA,Man,White,25-34,11 - 20 years
USA,Woman,White,25-34,5-7 years
US,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,21 - 30 years
US,Woman,White,35-44,11 - 20 years
USA,Man,White,25-34,5-7 years
US,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,5-7 years
US,Woman,White,45-54,21 - 30 years
USA,Woman,White,35-44,21 - 30 years
US,Woman,White,25-34,8 - 10 years
USA,Man,White,25-34,11 - 20 years
USA,Man,White,25-34,8 - 10 years
USA,Woman,Black or African American,35-44,11 - 20 years
USA,Woman,White,35-44,21 - 30 years
United States of america,Man,White,25-34,5-7 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,8 - 10 years
USA,Other or prefer not to answer,"Hispanic, Latino, or Spanish origin, White",25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,55-64,11 - 20 years
United States of America,Man,Black or African American,18-24,5-7 years
US,Man,White,45-54,31 - 40 years
USA,Man,White,25-34,8 - 10 years
USA,Non-binary,"Hispanic, Latino, or Spanish origin, White",25-34,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Man,White,55-64,31 - 40 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,25-34,11 - 20 years
us,Man,White,35-44,11 - 20 years
us,Woman,White,55-64,31 - 40 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,55-64,31 - 40 years
Usa,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
USA,Woman,White,35-44,2 - 4 years
USA,Man,White,35-44,21 - 30 years
USA,Woman,White,45-54,11 - 20 years
USA,Man,White,25-34,11 - 20 years
USA,Woman,Asian or Asian American,25-34,1 year or less
USA,Woman,White,45-54,8 - 10 years
US,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,8 - 10 years
USA,Man,White,25-34,8 - 10 years
US,Woman,White,25-34,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin, White",25-34,2 - 4 years
USA,Woman,White,35-44,11 - 20 years
United States of America,Woman,White,35-44,8 - 10 years
USA,NA,"Asian or Asian American, White",25-34,11 - 20 years
USA,Woman,Asian or Asian American,35-44,21 - 30 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,45-54,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,55-64,21 - 30 years
Usa,Woman,White,45-54,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,18-24,5-7 years
Usa,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,11 - 20 years
Usa,Woman,White,55-64,2 - 4 years
United States of America,Man,White,25-34,5-7 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,45-54,21 - 30 years
US,Woman,White,25-34,5-7 years
US,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
United States of America,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
USA,Non-binary,Asian or Asian American,25-34,2 - 4 years
US,Woman,White,45-54,21 - 30 years
US,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,8 - 10 years
US,Man,White,45-54,21 - 30 years
USA,Woman,White,35-44,21 - 30 years
Us,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
Usa,Woman,White,25-34,5-7 years
USA,Man,White,35-44,11 - 20 years
Usa,Woman,Asian or Asian American,35-44,11 - 20 years
USA,Man,"Hispanic, Latino, or Spanish origin",35-44,11 - 20 years
US,Woman,Another option not listed here or prefer not to answer,25-34,8 - 10 years
USA,Woman,Asian or Asian American,35-44,2 - 4 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
Usa,Man,White,35-44,11 - 20 years
usa,Woman,White,45-54,11 - 20 years
USA,NA,White,25-34,5-7 years
USA,Man,White,35-44,21 - 30 years
USA,Man,White,25-34,11 - 20 years
USA,Non-binary,Another option not listed here or prefer not to answer,35-44,11 - 20 years
US,Woman,White,45-54,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
US,Woman,Another option not listed here or prefer not to answer,55-64,31 - 40 years
US,Man,"Hispanic, Latino, or Spanish origin",25-34,2 - 4 years
USA,Non-binary,Black or African American,25-34,5-7 years
US,Woman,Black or African American,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Man,White,35-44,11 - 20 years
US,Man,White,35-44,11 - 20 years
USA,Woman,Black or African American,35-44,11 - 20 years
USA,NA,Asian or Asian American,25-34,2 - 4 years
USA,Woman,White,45-54,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin",35-44,21 - 30 years
Usa,Woman,White,45-54,31 - 40 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
US,Woman,NA,35-44,11 - 20 years
United States of america,Man,White,25-34,5-7 years
USA,Woman,White,25-34,11 - 20 years
USA,Man,White,35-44,21 - 30 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,55-64,31 - 40 years
USA,Man,Another option not listed here or prefer not to answer,18-24,1 year or less
USA,Woman,White,25-34,8 - 10 years
USA,Man,White,25-34,8 - 10 years
USA,Man,White,55-64,31 - 40 years
Usa,Man,White,45-54,21 - 30 years
USA,Woman,Another option not listed here or prefer not to answer,55-64,31 - 40 years
usa,Woman,White,45-54,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
US,Non-binary,"Asian or Asian American, White",25-34,5-7 years
USA,Woman,White,35-44,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Another option not listed here or prefer not to answer,25-34,5-7 years
USA,Man,White,45-54,11 - 20 years
US,Woman,Asian or Asian American,25-34,5-7 years
US,Man,White,25-34,8 - 10 years
US,Woman,White,35-44,8 - 10 years
USA,NA,NA,18-24,2 - 4 years
United States of America,Woman,Another option not listed here or prefer not to answer,35-44,11 - 20 years
Usa,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Man,White,35-44,11 - 20 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,"Asian or Asian American, White",25-34,8 - 10 years
USA,Woman,White,25-34,11 - 20 years
US,Woman,White,35-44,11 - 20 years
Us,Man,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Another option not listed here or prefer not to answer,35-44,11 - 20 years
usa,Woman,"Asian or Asian American, White",25-34,2 - 4 years
Usa,NA,NA,25-34,8 - 10 years
US,Woman,White,25-34,11 - 20 years
USA,Man,White,25-34,8 - 10 years
USA,Man,White,35-44,8 - 10 years
USA,Man,White,25-34,5-7 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Man,Asian or Asian American,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Non-binary,White,25-34,8 - 10 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,"White, Another option not listed here or prefer not to answer",35-44,21 - 30 years
USA,Woman,Asian or Asian American,18-24,1 year or less
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,45-54,11 - 20 years
USA,Man,White,25-34,8 - 10 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,5-7 years
USA,Non-binary,White,35-44,8 - 10 years
USA,Woman,Black or African American,18-24,2 - 4 years
Usa,Woman,White,35-44,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,2 - 4 years
USA,Woman,"Hispanic, Latino, or Spanish origin",35-44,5-7 years
US,Other or prefer not to answer,NA,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,2 - 4 years
USA,Man,White,25-34,5-7 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,8 - 10 years
USA,Non-binary,White,18-24,5-7 years
United States of America,Man,White,25-34,5-7 years
usa,Woman,White,25-34,8 - 10 years
USA,Woman,"Native American or Alaska Native, White",45-54,21 - 30 years
USA,NA,NA,18-24,1 year or less
US,Woman,White,35-44,21 - 30 years
USA,Woman,White,25-34,2 - 4 years
US,Man,White,25-34,5-7 years
USA,Woman,White,25-34,5-7 years
USA,Man,White,35-44,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
USA,Man,White,35-44,11 - 20 years
US,Woman,White,25-34,5-7 years
USA,Man,Asian or Asian American,18-24,2 - 4 years
USA,Man,White,25-34,5-7 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,2 - 4 years
USA,Woman,White,25-34,5-7 years
USA,Other or prefer not to answer,White,45-54,21 - 30 years
USA,Woman,White,25-34,5-7 years
us,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,25-34,5-7 years
USA,Man,White,25-34,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,"Black or African American, White",25-34,5-7 years
USA,Man,White,35-44,21 - 30 years
USA,Woman,"Middle Eastern or Northern African, White",25-34,8 - 10 years
US,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,5-7 years
USA,Woman,"Asian or Asian American, White",25-34,5-7 years
United States of America,Man,White,35-44,11 - 20 years
Usa,Woman,White,45-54,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
United States of America,Woman,White,35-44,11 - 20 years
Usa,Man,White,25-34,8 - 10 years
US,Woman,White,45-54,21 - 30 years
Usa,Woman,White,45-54,11 - 20 years
USA,Woman,White,35-44,21 - 30 years
USA,Woman,White,25-34,2 - 4 years
Usa,Woman,White,55-64,31 - 40 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,Black or African American,25-34,5-7 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,White,45-54,31 - 40 years
USA,Woman,White,25-34,5-7 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,21 - 30 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,8 - 10 years
USA,Non-binary,White,25-34,2 - 4 years
USA,Woman,White,25-34,2 - 4 years
US,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,Another option not listed here or prefer not to answer,45-54,11 - 20 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,35-44,8 - 10 years
United States of America,Man,White,35-44,11 - 20 years
Us,Woman,White,25-34,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,2 - 4 years
Us,Woman,White,35-44,11 - 20 years
United States of America,Man,"Asian or Asian American, Another option not listed here or prefer not to answer",25-34,8 - 10 years
Usa,Woman,"Hispanic, Latino, or Spanish origin, White",45-54,31 - 40 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
United States of America,Woman,White,45-54,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,35-44,11 - 20 years
US,Woman,White,35-44,11 - 20 years
US,Woman,White,25-34,8 - 10 years
United States of America,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
United States of America,Man,White,25-34,2 - 4 years
Usa,Woman,White,25-34,11 - 20 years
USA,Other or prefer not to answer,White,35-44,21 - 30 years
USA,Woman,Black or African American,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
USA,Man,White,25-34,8 - 10 years
US,Woman,White,25-34,11 - 20 years
US,Man,White,25-34,8 - 10 years
USA,Woman,White,35-44,21 - 30 years
USA,Woman,White,35-44,21 - 30 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
US,Woman,Black or African American,25-34,2 - 4 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
Us,Man,"Hispanic, Latino, or Spanish origin",45-54,21 - 30 years
USA,Woman,White,25-34,8 - 10 years
US,Woman,White,35-44,21 - 30 years
USA,Woman,Asian or Asian American,35-44,11 - 20 years
Usa,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
Us,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
Us,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,2 - 4 years
Usa,Woman,White,25-34,8 - 10 years
Usa,Woman,White,25-34,11 - 20 years
US,Woman,White,45-54,31 - 40 years
USA,Woman,White,35-44,5-7 years
USA,Woman,White,25-34,8 - 10 years
USA,Man,White,35-44,8 - 10 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,Asian or Asian American,18-24,2 - 4 years
United States of America,Woman,Another option not listed here or prefer not to answer,25-34,11 - 20 years
US,Woman,White,35-44,8 - 10 years
USA,Woman,Another option not listed here or prefer not to answer,35-44,11 - 20 years
United States of America,Other or prefer not to answer,White,25-34,2 - 4 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,45-54,11 - 20 years
US,Woman,White,35-44,11 - 20 years
uS,Woman,White,25-34,8 - 10 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,8 - 10 years
Usa,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
usa,Woman,White,25-34,8 - 10 years
USA,Woman,White,45-54,21 - 30 years
United States of America,Woman,Asian or Asian American,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,"Native American or Alaska Native, White",25-34,5-7 years
US,Woman,White,25-34,8 - 10 years
US,Woman,Black or African American,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,Black or African American,35-44,11 - 20 years
USA,Other or prefer not to answer,White,25-34,8 - 10 years
USA,Woman,"Asian or Asian American, White",35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,65 or over,41 years or more
United States of America,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,Another option not listed here or prefer not to answer,35-44,11 - 20 years
US,Woman,White,35-44,21 - 30 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
United States of America,Woman,White,25-34,8 - 10 years
Usa,Woman,White,25-34,8 - 10 years
US,Woman,White,45-54,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
Usa,Woman,Another option not listed here or prefer not to answer,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
Usa,Woman,White,35-44,11 - 20 years
USA,Man,White,35-44,21 - 30 years
Usa,Woman,White,35-44,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,35-44,2 - 4 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,11 - 20 years
US,Woman,White,25-34,8 - 10 years
Usa,Woman,White,45-54,21 - 30 years
US,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,8 - 10 years
USA,Non-binary,White,45-54,21 - 30 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
United States of America,Man,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,35-44,8 - 10 years
USA,Woman,White,25-34,11 - 20 years
US,Woman,White,25-34,11 - 20 years
USA,Woman,Asian or Asian American,25-34,8 - 10 years
USA,Woman,Asian or Asian American,25-34,8 - 10 years
US,Woman,White,35-44,11 - 20 years
Usa,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,35-44,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,Asian or Asian American,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
United States of America,Woman,White,35-44,2 - 4 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,31 - 40 years
Usa,Woman,White,25-34,8 - 10 years
Usa,Woman,White,25-34,5-7 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
US,Woman,White,25-34,5-7 years
USA,Man,White,35-44,21 - 30 years
United States of America,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,5-7 years
